🕘️更新时间,#genre#
CCTV-5+,http://36.159.28.196:6610/PLTV/77777777/224/3221225998/index.m3u8?
CCTV-6,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1
CCTV-6,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225936/index.m3u8?servicetype=1
CCTV-6,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226366/index.m3u8?servicetype=1
CCTV-6,http://36.159.28.196:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-6,http://36.159.28.196:6610/PLTV/77777777/224/3221225936/index.m3u8?
CCTV-7,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1
CCTV-7,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225892/index.m3u8?servicetype=1
CCTV-7,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226364/index.m3u8?servicetype=1
CCTV-7,http://36.159.28.196:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV-7,http://36.159.28.196:6610/PLTV/77777777/224/3221225892/index.m3u8?
CCTV-8,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1
CCTV-8,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226001/index.m3u8?servicetype=1
CCTV-8,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226362/index.m3u8?servicetype=1
CCTV-8,http://36.159.28.196:6610/PLTV/77777777/224/3221225716/index.m3u8?
CCTV-8,http://36.159.28.196:6610/PLTV/77777777/224/3221226001/index.m3u8?
CCTV-9,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1
CCTV-9,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225939/index.m3u8?servicetype=1
CCTV-9,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226365/index.m3u8?servicetype=1
CCTV-9,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226437/index.m3u8?servicetype=1
CCTV-9,http://36.159.28.196:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV-10,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1
CCTV-10,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226004/index.m3u8?servicetype=1
CCTV-10,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226369/index.m3u8?servicetype=1
CCTV-10,http://36.159.28.196:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV-10,http://36.159.28.196:6610/PLTV/77777777/224/3221226004/index.m3u8?
CCTV-11,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225739/index.m3u8?servicetype=1
CCTV-11,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225895/index.m3u8?servicetype=1
CCTV-11,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226367/index.m3u8?servicetype=1
CCTV-11,http://36.159.28.196:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-11,http://36.159.28.196:6610/PLTV/77777777/224/3221225895/index.m3u8?
CCTV-12,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225645/index.m3u8?servicetype=1
CCTV-12,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226013/index.m3u8?servicetype=1
CCTV-12,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226370/index.m3u8?servicetype=1
CCTV-12,http://36.159.28.196:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-12,http://36.159.28.196:6610/PLTV/77777777/224/3221226013/index.m3u8?
CCTV-13,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225742/index.m3u8?servicetype=1
CCTV-13,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226046/index.m3u8?servicetype=1
CCTV-13,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226368/index.m3u8?servicetype=1
CCTV-13,http://36.159.28.196:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV-13,http://36.159.28.196:6610/PLTV/77777777/224/3221226046/index.m3u8?
CCTV-14,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225648/index.m3u8?servicetype=1
CCTV-14,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225901/index.m3u8?servicetype=1
CCTV-14,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226372/index.m3u8?servicetype=1
CCTV-14,http://36.159.28.196:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV-14,http://36.159.28.196:6610/PLTV/77777777/224/3221225901/index.m3u8?
CCTV-15,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1
CCTV-15,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225945/index.m3u8?servicetype=1
CCTV-15,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226375/index.m3u8?servicetype=1
CCTV-15,http://36.159.28.196:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV-15,http://36.159.28.196:6610/PLTV/77777777/224/3221225945/index.m3u8?
CCTV-16,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225937/index.m3u8?servicetype=1
CCTV-16,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225956/index.m3u8?servicetype=1
CCTV-16,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226373/index.m3u8?servicetype=1
CCTV-16,http://36.159.28.196:6610/PLTV/77777777/224/3221225937/index.m3u8?
CCTV-16,http://36.159.28.196:6610/PLTV/77777777/224/3221225956/index.m3u8?
CCTV-17,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225766/index.m3u8?servicetype=1
CCTV-17,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225910/index.m3u8?servicetype=1
CCTV-17,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226371/index.m3u8?servicetype=1
CCTV-17,http://36.159.28.196:6610/PLTV/77777777/224/3221225766/index.m3u8?
CCTV-17,http://36.159.28.196:6610/PLTV/77777777/224/3221225910/index.m3u8?
CETV-1,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225776/index.m3u8?servicetype=1
CETV-1,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226411/index.m3u8?servicetype=1
CETV-1,http://36.159.28.196:6610/PLTV/77777777/224/3221225776/index.m3u8?
CETV-1,http://36.159.28.196:6610/PLTV/77777777/224/3221226411/index.m3u8?
CETV-1,http://39.135.46.246:6610/PLTV/77777777/224/3221225776/index.m3u8?
CETV-2,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226432/index.m3u8?servicetype=1
CETV-2,http://36.159.28.196:6610/PLTV/77777777/224/3221226432/index.m3u8?
CETV-2,http://39.135.46.246:6610/PLTV/77777777/224/3221226432/index.m3u8?
CETV-2,https://iptv.catvod.com/live.php?id=CETV2&line=1
CETV-2,https://iptv.catvod.com/live.php?id=CETV2
CETV-4,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226414/index.m3u8?servicetype=1
CETV-4,http://36.159.28.196:6610/PLTV/77777777/224/3221226414/index.m3u8?
CETV-4,http://39.135.46.246:6610/PLTV/77777777/224/3221226414/index.m3u8?
CETV-4,http://60.4.29.183:8077/rtp/239.253.92.200:6137

💰央视付费频道,#genre#
文化精品,http://118.251.18.81:8188/udp/239.76.254.56:9000
文化精品,http://60.4.29.183:8077/rtp/239.253.93.175:6439
央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
央视台球,http://60.4.29.183:8077/rtp/239.253.93.231:6409
央视台球,http://118.251.18.81:8188/udp/239.76.254.58:9000
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
风云音乐,http://60.4.29.183:8077/rtp/239.253.93.253:6431
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
第一剧场,http://183.236.43.98:4013/udp/239.253.43.15:5146
第一剧场,http://60.4.29.183:8077/rtp/239.253.93.138:6428
第一剧场,http://106.116.127.35:4022/rtp/239.254.201.218:7258
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
风云剧场,http://183.236.43.98:4013/udp/239.253.43.16:5146
风云剧场,http://220.176.218.24:9000/udp/239.252.219.89:5140
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
怀旧剧场,http://60.4.29.183:8077/rtp/239.253.93.252:6430
怀旧剧场,http://220.176.218.24:9000/udp/239.252.219.90:5140
女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
女性时尚,http://60.4.29.183:8077/rtp/239.253.92.144:6114
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
高尔夫网球,http://183.236.43.98:4013/udp/239.253.43.12:5146
高尔夫网球,http://220.176.218.24:9000/udp/239.252.219.95:5140
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
风云足球,http://220.176.218.24:9000/udp/239.252.219.96:5140
电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
电视指南,http://60.4.29.183:8077/rtp/239.253.93.249:6427
电视指南,http://183.236.43.98:4013/udp/239.253.43.10:5146
世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
兵器科技,http://106.116.127.35:4022/rtp/239.254.201.225:7249
兵器科技,http://60.4.29.183:8077/rtp/239.253.93.47:6435
兵器科技,http://183.236.43.98:4013/udp/239.253.43.9:5146
兵器科技,http://118.251.18.81:8188/udp/239.76.254.59:9000

📡卫视频道,#genre#
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225913/index.m3u8?servicetype=1
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225666/index.m3u8?servicetype=1
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226382/index.m3u8?servicetype=1
广东卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225913/index.m3u8?
广东卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225666/index.m3u8?
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226395/index.m3u8?servicetype=1
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225731/index.m3u8?servicetype=1
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225928/index.m3u8?servicetype=1
浙江卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226395/index.m3u8?
浙江卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225731/index.m3u8?
湖南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225719/index.m3u8?servicetype=1
湖南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226388/index.m3u8?servicetype=1
湖南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225919/index.m3u8?servicetype=1
湖南卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225719/index.m3u8?
湖南卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226388/index.m3u8?
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226435/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226438/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226333/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225889/index.m3u8?servicetype=1
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225651/index.m3u8?servicetype=1
湖北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225954/index.m3u8?servicetype=1
湖北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225721/index.m3u8?servicetype=1
湖北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226386/index.m3u8?servicetype=1
湖北卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225954/index.m3u8?
湖北卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225721/index.m3u8?
黑龙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226390/index.m3u8?servicetype=1
黑龙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226019/index.m3u8?servicetype=1
黑龙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225734/index.m3u8?servicetype=1
黑龙江卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226390/index.m3u8?
黑龙江卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226019/index.m3u8?
安徽卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226378/index.m3u8?servicetype=1
安徽卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225886/index.m3u8?servicetype=1
安徽卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225701/index.m3u8?servicetype=1
安徽卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226378/index.m3u8?
安徽卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225886/index.m3u8?
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225745/index.m3u8?servicetype=1
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225898/index.m3u8?servicetype=1
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226403/index.m3u8?servicetype=1
重庆卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225745/index.m3u8?
重庆卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225898/index.m3u8?
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225942/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226016/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226377/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225718/index.m3u8?servicetype=1
东方卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225942/index.m3u8?
东南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226381/index.m3u8?servicetype=1
东南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225904/index.m3u8?servicetype=1
东南卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226381/index.m3u8?
东南卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225904/index.m3u8?
东南卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226381/index.m3u8?
甘肃卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226380/index.m3u8?servicetype=1
甘肃卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225764/index.m3u8?servicetype=1
甘肃卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226380/index.m3u8?
甘肃卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225764/index.m3u8?
甘肃卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226380/index.m3u8?
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225976/index.m3u8?servicetype=1
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225986/index.m3u8?servicetype=1
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225938/index.m3u8?servicetype=1
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225984/index.m3u8?servicetype=1
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225953/index.m3u8?servicetype=1
贵州卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225770/index.m3u8?servicetype=1
贵州卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226384/index.m3u8?servicetype=1
贵州卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225770/index.m3u8?
贵州卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226384/index.m3u8?
贵州卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221225770/index.m3u8?
海南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225752/index.m3u8?servicetype=1
海南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226385/index.m3u8?servicetype=1
海南卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225752/index.m3u8?
海南卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226385/index.m3u8?
海南卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221225752/index.m3u8?
河北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226387/index.m3u8?servicetype=1
河北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225773/index.m3u8?servicetype=1
河北卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226387/index.m3u8?
河北卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225773/index.m3u8?
河北卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226387/index.m3u8?
河南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226383/index.m3u8?servicetype=1
河南卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226383/index.m3u8?
河南卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226383/index.m3u8?
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub
吉林卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226389/index.m3u8?servicetype=1
吉林卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226389/index.m3u8?
吉林卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226389/index.m3u8?
吉林卫视,https://iptv.catvod.com/live.php?id=%E5%90%89%E6%9E%97%E5%8D%AB%E8%A7%86&line=5
吉林卫视,https://iptv.catvod.com/live.php?id=%E5%90%89%E6%9E%97%E5%8D%AB%E8%A7%86&line=6
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226468/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226465/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226391/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225722/index.m3u8?servicetype=1
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226025/index.m3u8?servicetype=1
江西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225957/index.m3u8?servicetype=1
江西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226394/index.m3u8?servicetype=1
江西卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225957/index.m3u8?
江西卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226394/index.m3u8?
江西卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221225957/index.m3u8?
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226393/index.m3u8?servicetype=1
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225779/index.m3u8?servicetype=1
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225733/index.m3u8?servicetype=1
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226007/index.m3u8?servicetype=1
辽宁卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226393/index.m3u8?
内蒙古卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226429/index.m3u8?servicetype=1
内蒙古卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225751/index.m3u8?servicetype=1
内蒙古卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226429/index.m3u8?
内蒙古卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225751/index.m3u8?
内蒙古卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226429/index.m3u8?
宁夏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226413/index.m3u8?servicetype=1
宁夏卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226413/index.m3u8?
宁夏卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226413/index.m3u8?
宁夏卫视,https://iptv.catvod.com/live.php?id=%E5%AE%81%E5%A4%8F%E5%8D%AB%E8%A7%86&line=2
宁夏卫视,http://38.75.136.137:98/gslb/dsdqpub/nxws.m3u8?auth=testpub
青海卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225705/index.m3u8?servicetype=1
青海卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226402/index.m3u8?servicetype=1
青海卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225705/index.m3u8?
青海卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226402/index.m3u8?
青海卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221225705/index.m3u8?
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225672/index.m3u8?servicetype=1
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226396/index.m3u8?servicetype=1
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226010/index.m3u8?servicetype=1
山东卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225672/index.m3u8?
山东卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226396/index.m3u8?
山西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226398/index.m3u8?servicetype=1
山西卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226398/index.m3u8?
山西卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226398/index.m3u8?
山西卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86&line=1
山西卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86&line=2
陕西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226400/index.m3u8?servicetype=1
陕西卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226400/index.m3u8?
陕西卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226400/index.m3u8?
陕西卫视,https://iptv.catvod.com/live.php?id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86&line=3
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/snwshd.m3u8?auth=testpub
四川卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226392/index.m3u8?servicetype=1
四川卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225757/index.m3u8?servicetype=1
四川卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226392/index.m3u8?
四川卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225757/index.m3u8?
四川卫视,http://39.135.46.246:6610/PLTV/77777777/224/3221226392/index.m3u8?
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225725/index.m3u8?servicetype=1
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226379/index.m3u8?servicetype=1
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225951/index.m3u8?servicetype=1
深圳卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221225725/index.m3u8?
深圳卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226379/index.m3u8?
三沙卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226405/index.m3u8?servicetype=1
三沙卫视,http://36.159.28.196:6610/PLTV/77777777/224/3221226405/index.m3u8?
